id,number,amount_due,amount_paid,amount_remaining,subtotal,total,currency,status,paid,customer,subscription,collection_method,attempt_count,due_date,period_start,period_end,created
in_225d39468cbd41d896480328,INV-000013,2900,2900,0,2900,2900,usd,paid,True,cus_edf2e76a15354a1a8c47bb69,sub_2764f13277184825ab415c29,charge_automatically,1,,2025-04-30T00:00:00Z,2025-05-30T00:00:00Z,2025-04-30T21:01:00Z
in_ce97b28190d048fea89dded2,INV-000014,4900,4900,0,4900,4900,usd,paid,True,cus_d25cedf1b5734c79ba91ea32,sub_43a1dc3b5f7a49d38045c9ce,charge_automatically,1,,2025-04-30T00:00:00Z,2025-05-30T00:00:00Z,2025-04-30T08:08:00Z
in_98cfc1a1b56546668b4fcfce,INV-000015,3900,3900,0,3900,3900,usd,paid,True,cus_f651db2714fe49ccb70eca23,sub_83b461b969c944cf8d6da65c,charge_automatically,1,,2025-04-30T00:00:00Z,2025-05-30T00:00:00Z,2025-04-30T09:28:00Z
in_0bc88e13f3ee4c6e97ac5320,INV-000016,14900,14900,0,14900,14900,usd,paid,True,cus_9d0ae0475f7b427bb8bbe408,sub_97b5b0278624476598df74ef,charge_automatically,1,,2025-04-30T00:00:00Z,2025-05-30T00:00:00Z,2025-04-30T08:03:00Z
in_0c59b3b06d144b589382fa33,INV-000017,7900,7900,0,7900,7900,usd,paid,True,cus_01bfdf87b07a4927a1d8590c,sub_47191a7c34414483927560dd,charge_automatically,1,,2025-04-30T00:00:00Z,2025-05-30T00:00:00Z,2025-04-30T15:04:00Z
in_d4dbbee56f6747849d2e0052,INV-000018,4900,4900,0,4900,4900,usd,paid,True,cus_fd1426f135f84e0096194cfd,sub_95e35c6c1bba4cc5bb20ef05,charge_automatically,1,,2025-04-30T00:00:00Z,2025-05-30T00:00:00Z,2025-04-30T17:35:00Z
in_be1c294a3ca04ceda817e432,INV-000019,3900,3900,0,3900,3900,usd,paid,True,cus_467f270623654700a84708f5,sub_39797423e446439cb2bd8cdd,charge_automatically,1,,2025-05-01T00:00:00Z,2025-05-31T00:00:00Z,2025-05-01T19:46:00Z
in_ae585e34797d4ec4a2906470,INV-000020,2900,2900,0,2900,2900,usd,paid,True,cus_a1607af72f9c417f9365c56e,sub_b1aae3440bb74e2396d346a0,charge_automatically,1,,2025-05-01T00:00:00Z,2025-05-31T00:00:00Z,2025-05-01T13:41:00Z
in_1cab31b43e2445bb864c13a0,INV-000021,3900,3900,0,3900,3900,usd,paid,True,cus_17bfe49a554e4988ae36b2e8,sub_7196715c68534970b828acb8,charge_automatically,1,,2025-05-01T00:00:00Z,2025-05-31T00:00:00Z,2025-05-01T10:27:00Z
in_07c8713f39ab4d818d372484,INV-000022,4900,4900,0,4900,4900,usd,paid,True,cus_21affc09f2a948cb81945a8e,sub_663e7f6298174588a4c81f0a,charge_automatically,1,,2025-05-01T00:00:00Z,2025-05-31T00:00:00Z,2025-05-01T13:59:00Z
in_40345da2091a420a9f8b098c,INV-000023,2900,2900,0,2900,2900,usd,paid,True,cus_1489c66e04fd4cf08f1ce82d,sub_ff693c30113e4d579f0d51ef,charge_automatically,1,,2025-05-01T00:00:00Z,2025-05-31T00:00:00Z,2025-05-01T18:35:00Z
in_ac5a33f88e4b40a9b3ee8e2e,INV-000024,2900,2900,0,2900,2900,usd,paid,True,cus_11fe270f46f246c888459ecc,sub_799dd0ddd28e4a0b9c34e765,charge_automatically,1,,2025-05-01T00:00:00Z,2025-05-31T00:00:00Z,2025-05-01T17:09:00Z
in_eddc4eb49ceb4d12984b60ef,INV-000025,2900,2900,0,2900,2900,usd,paid,True,cus_15c0bcc0329443939b7a2f6f,sub_42eb158dbb334138935f0174,charge_automatically,1,,2025-05-01T00:00:00Z,2025-05-31T00:00:00Z,2025-05-01T08:05:00Z
in_e9eb660d903c495bb5dd3aae,INV-000026,7900,7900,0,7900,7900,usd,paid,True,cus_68ae3fd5a9ff437fb788a336,sub_b0a78769c72e448098593ba9,charge_automatically,1,,2025-05-01T00:00:00Z,2025-05-31T00:00:00Z,2025-05-01T08:31:00Z
in_5b5d2e61abaa4377add6bc97,INV-000027,2900,2900,0,2900,2900,usd,paid,True,cus_59b6078329834f00aa328552,sub_542b1c41608a48c7a2762282,charge_automatically,1,,2025-05-02T00:00:00Z,2025-06-01T00:00:00Z,2025-05-02T14:00:00Z
in_ae85e2a0eb93426d8ebce825,INV-000028,3900,3900,0,3900,3900,usd,paid,True,cus_98c3535cd3484308aaf23204,sub_57279e7d82754807ac944fdd,charge_automatically,1,,2025-05-02T00:00:00Z,2025-06-01T00:00:00Z,2025-05-02T19:43:00Z
in_b11f7c1fccab4173be413ddf,INV-000029,4900,4900,0,4900,4900,usd,paid,True,cus_9fc49be1acb747f1afd8651c,sub_72013cd59dde4e5fa734f02b,charge_automatically,1,,2025-05-02T00:00:00Z,2025-06-01T00:00:00Z,2025-05-02T11:12:00Z
in_3ecaca3412224bc391c9e34b,INV-000030,3900,3900,0,3900,3900,usd,paid,True,cus_e41db1295f834540895576c5,sub_05822aa08ddc46d2a2a717b4,charge_automatically,1,,2025-05-02T00:00:00Z,2025-06-01T00:00:00Z,2025-05-02T14:29:00Z
in_2659b48716024999ba478101,INV-000031,2900,2900,0,2900,2900,usd,paid,True,cus_f2c11fdecabe441ea341f364,sub_315add5bcc194211a8337ecf,charge_automatically,1,,2025-05-02T00:00:00Z,2025-06-01T00:00:00Z,2025-05-02T18:48:00Z
in_ff2e31815d2349febb8729b3,INV-000032,2900,2900,0,2900,2900,usd,paid,True,cus_d59dd36cefb849aa8aefd67d,sub_cce8074152fc4a6cb3f2396a,charge_automatically,1,,2025-05-02T00:00:00Z,2025-06-01T00:00:00Z,2025-05-02T19:10:00Z
in_f9aa61a4d29540b78456c3a5,INV-000033,2900,2900,0,2900,2900,usd,paid,True,cus_48a4431835f14ae089b28241,sub_dc8194743a7b4198a8c802a9,charge_automatically,1,,2025-05-02T00:00:00Z,2025-06-01T00:00:00Z,2025-05-02T22:02:00Z
in_eb5c5c91367940218e375a78,INV-000034,3900,3900,0,3900,3900,usd,paid,True,cus_93aec2eb116e4835a8fccd80,sub_9bbac3a4f3ce49e2a225cc84,charge_automatically,1,,2025-05-02T00:00:00Z,2025-06-01T00:00:00Z,2025-05-02T12:57:00Z
in_15b7972bd85f408b940ca010,INV-000035,2900,2900,0,2900,2900,usd,paid,True,cus_a2cf24bb5738494aa3dac9a3,sub_9462fe2d2d33411391c33dcc,charge_automatically,1,,2025-05-02T00:00:00Z,2025-06-01T00:00:00Z,2025-05-02T11:37:00Z
in_90d5e6ee2d8443aea9894a16,INV-000036,2900,2900,0,2900,2900,usd,paid,True,cus_88da7f7b4b104e5cbc67abdb,sub_94ab4176103b4cfa84a1b442,charge_automatically,1,,2025-05-03T00:00:00Z,2025-06-02T00:00:00Z,2025-05-03T17:40:00Z
in_42791d78d7f548a087eb3ddc,INV-000037,2900,2900,0,2900,2900,usd,paid,True,cus_a1962b463b474125a69d67fb,sub_b1b35594d639430090660484,charge_automatically,1,,2025-05-03T00:00:00Z,2025-06-02T00:00:00Z,2025-05-03T12:49:00Z
in_6ef8d4679d074c19b6b99f8e,INV-000038,2900,2900,0,2900,2900,usd,paid,True,cus_2a15dffaf6bd4a54be65e41b,sub_3c3baddf475c4a69be5b20d2,charge_automatically,1,,2025-05-03T00:00:00Z,2025-06-02T00:00:00Z,2025-05-03T21:00:00Z
in_e4c8ca575d3b472d8808f391,INV-000039,3900,3900,0,3900,3900,usd,paid,True,cus_8e55ecbe2d3843cbb5d77f78,sub_361f103085d848adb37daa5e,charge_automatically,1,,2025-05-03T00:00:00Z,2025-06-02T00:00:00Z,2025-05-03T21:02:00Z
in_2d07655275dc4b0da06bed4d,INV-000040,2900,2900,0,2900,2900,usd,paid,True,cus_3f64fd99dc984bec9771c39c,sub_1343f2b395c64aac939ff9b4,charge_automatically,1,,2025-05-03T00:00:00Z,2025-06-02T00:00:00Z,2025-05-03T19:20:00Z
in_48eda8be0d804329a45a7fe1,INV-000041,2900,2900,0,2900,2900,usd,paid,True,cus_ef8b5e6fa57d42728408b9ef,sub_088d24c3a6e54f16a9c91500,charge_automatically,1,,2025-05-04T00:00:00Z,2025-06-03T00:00:00Z,2025-05-04T09:30:00Z
in_7672797e36844b7d8261a9cf,INV-000042,2900,2900,0,2900,2900,usd,paid,True,cus_9dfe1295f6434e54a89afa57,sub_9cf5e0baf3164e50972d214a,charge_automatically,1,,2025-05-04T00:00:00Z,2025-06-03T00:00:00Z,2025-05-04T22:41:00Z
in_e69c8765b9a64c6f8f0bb838,INV-000043,4900,4900,0,4900,4900,usd,paid,True,cus_8fb0d179e3024a4d8b2b3c42,sub_f69a3649805d412a81e70721,charge_automatically,1,,2025-05-04T00:00:00Z,2025-06-03T00:00:00Z,2025-05-04T18:08:00Z
in_3b1db035dcb24e83ada73254,INV-000044,4900,4900,0,4900,4900,usd,paid,True,cus_f88b2f08aac44be38ca2fe05,sub_35f803ac0ca4456c9552bee7,charge_automatically,1,,2025-05-04T00:00:00Z,2025-06-03T00:00:00Z,2025-05-04T19:02:00Z
in_8875a65e7e1140a9896a925e,INV-000045,3900,3900,0,3900,3900,usd,paid,True,cus_ecf17fae7c0f4726813f0193,sub_57c2edd64a2145b69c4ea7bd,charge_automatically,1,,2025-05-04T00:00:00Z,2025-06-03T00:00:00Z,2025-05-04T18:50:00Z
in_360f973423094c30b0e13f95,INV-000046,2900,2900,0,2900,2900,usd,paid,True,cus_35dd248cc8034acb881cf954,sub_786b12d1ca9e45a6abfef413,charge_automatically,1,,2025-05-04T00:00:00Z,2025-06-03T00:00:00Z,2025-05-04T22:35:00Z
in_cf2b6cf55c18411b95477671,INV-000047,4900,4900,0,4900,4900,usd,paid,True,cus_86a09e8cc462451daac7dc75,sub_b2faddbf134440c3b758e496,charge_automatically,1,,2025-05-04T00:00:00Z,2025-06-03T00:00:00Z,2025-05-04T22:21:00Z
in_6acd70a8b4014dee89f40d6a,INV-000048,3900,3900,0,3900,3900,usd,paid,True,cus_0b8fd3c9c256429fafd74356,sub_cc87ed78d2ee406baa9fd494,charge_automatically,1,,2025-05-05T00:00:00Z,2025-06-04T00:00:00Z,2025-05-05T14:34:00Z
in_760fc43e7a484a53aee4a067,INV-000049,7900,7900,0,7900,7900,usd,paid,True,cus_d9e6703565c342e4a50f0319,sub_bc704a893261471a917f4d9d,charge_automatically,1,,2025-05-05T00:00:00Z,2025-06-04T00:00:00Z,2025-05-05T22:41:00Z
in_8532fee47d884f8ea1ba6763,INV-000050,4900,4900,0,4900,4900,usd,paid,True,cus_8f6ae5ce7d15481cb52a70ab,sub_713b8158605942258f6b937e,charge_automatically,1,,2025-05-05T00:00:00Z,2025-06-04T00:00:00Z,2025-05-05T10:42:00Z
in_b918c6e28c054f23990c44f6,INV-000051,2900,2900,0,2900,2900,usd,paid,True,cus_4202b107b2614b7a9d898346,sub_f3b547ed0c7d4bc881daff25,charge_automatically,1,,2025-05-05T00:00:00Z,2025-06-04T00:00:00Z,2025-05-05T09:16:00Z
in_77a804e158814f7897466ecd,INV-000052,2900,2900,0,2900,2900,usd,paid,True,cus_c2f43712b177409d900cec16,sub_31e792dfdd1a4f8db65d8d95,charge_automatically,1,,2025-05-05T00:00:00Z,2025-06-04T00:00:00Z,2025-05-05T18:15:00Z
in_811e6894c51c4adc9865c0d8,INV-000053,4900,4900,0,4900,4900,usd,paid,True,cus_7156ab99954c41e1b1783399,sub_8e8bc24306554ffb8ca6e567,charge_automatically,1,,2025-05-05T00:00:00Z,2025-06-04T00:00:00Z,2025-05-05T18:19:00Z
in_74e33358a2794066bae3bd3a,INV-000054,4900,4900,0,4900,4900,usd,paid,True,cus_59d16a2a84c5474ebb723801,sub_13ce9a34f0c444cb946b7e11,charge_automatically,1,,2025-05-05T00:00:00Z,2025-06-04T00:00:00Z,2025-05-05T13:15:00Z
in_f8076c8e079f48cebe27e50d,INV-000055,7900,7900,0,7900,7900,usd,paid,True,cus_2addb4e75d424909a0587f69,sub_3242ad79b4e14238a71d4d4a,charge_automatically,1,,2025-05-05T00:00:00Z,2025-06-04T00:00:00Z,2025-05-05T19:21:00Z
in_b6a6ded32a4545fbbda9efa1,INV-000056,4900,4900,0,4900,4900,usd,paid,True,cus_39fb11f14ac24a28953976a5,sub_07868fda2e1146058904f1fb,charge_automatically,1,,2025-05-05T00:00:00Z,2025-06-04T00:00:00Z,2025-05-05T10:41:00Z
in_854dee1b598f4896be5e2ec7,INV-000057,2900,2900,0,2900,2900,usd,paid,True,cus_1e6576b51b304219a98adb13,sub_963e2ef3531d4a56a9df3643,charge_automatically,1,,2025-05-06T00:00:00Z,2025-06-05T00:00:00Z,2025-05-06T09:18:00Z
in_b45e0b043bef46c38a3051bb,INV-000058,3900,3900,0,3900,3900,usd,paid,True,cus_5dcd66bf99c24e19922065bb,sub_1a1e08ab294644c4b218bbbc,charge_automatically,1,,2025-05-06T00:00:00Z,2025-06-05T00:00:00Z,2025-05-06T11:21:00Z
in_7321c06b2ec4439ab4e3d4dd,INV-000059,2900,2900,0,2900,2900,usd,paid,True,cus_bc9fb64dde604cc79b77224d,sub_92119755aaa142cf8d137b74,charge_automatically,1,,2025-05-06T00:00:00Z,2025-06-05T00:00:00Z,2025-05-06T08:21:00Z
in_2d79e08c18964c8a8f2bd2f1,INV-000060,2900,2900,0,2900,2900,usd,paid,True,cus_2541886297d1440096cf2e47,sub_abad6e4a322b4414bfc4a2cc,charge_automatically,1,,2025-05-06T00:00:00Z,2025-06-05T00:00:00Z,2025-05-06T15:11:00Z
in_158b2ee7b3c54712b547180d,INV-000061,4900,4900,0,4900,4900,usd,paid,True,cus_09f07dd269cc403f96f0160c,sub_990fc2e7d2724a31b01156b0,charge_automatically,1,,2025-05-06T00:00:00Z,2025-06-05T00:00:00Z,2025-05-06T11:24:00Z
in_044a36ca2a0b473bb78fdbe0,INV-000062,3900,3900,0,3900,3900,usd,paid,True,cus_cf0beb2ee8fc4ff592c652ce,sub_ccfd6b2a66ae4a35ac050791,charge_automatically,1,,2025-05-06T00:00:00Z,2025-06-05T00:00:00Z,2025-05-06T11:30:00Z
in_b0ee6de94cc94824b120fda1,INV-000063,2900,2900,0,2900,2900,usd,paid,True,cus_863dc8036d744b6fb2b1c4b3,sub_81b91c86b9604a9fa1da8733,charge_automatically,1,,2025-05-06T00:00:00Z,2025-06-05T00:00:00Z,2025-05-06T16:33:00Z
in_abfb8124ca5f45c1a363c4dd,INV-000064,2900,2900,0,2900,2900,usd,paid,True,cus_0f7426e3efa943dcadd24f15,sub_1114647d363249a1928491f9,charge_automatically,1,,2025-05-06T00:00:00Z,2025-06-05T00:00:00Z,2025-05-06T11:07:00Z
in_9164b7658a3b4fea98259dc8,INV-000065,14900,14900,0,14900,14900,usd,paid,True,cus_aaaab67d5ad34fe1b6a9e815,sub_eca3a3818eb74f3caf15ee78,charge_automatically,1,,2025-05-07T00:00:00Z,2025-06-06T00:00:00Z,2025-05-07T18:33:00Z
in_2ad2f98ddbe64e1ab98c7a1b,INV-000066,3900,3900,0,3900,3900,usd,paid,True,cus_c48dfda09a214c3cb58a5f82,sub_776e1430591f4932b11e4226,charge_automatically,1,,2025-05-07T00:00:00Z,2025-06-06T00:00:00Z,2025-05-07T17:39:00Z
in_53c678db9b114f78976722b0,INV-000067,4900,4900,0,4900,4900,usd,paid,True,cus_02134c085141401b87729446,sub_9be7d233174e4c47973d9bf0,charge_automatically,1,,2025-05-07T00:00:00Z,2025-06-06T00:00:00Z,2025-05-07T10:56:00Z
in_980e00f92de6402dbf64bd3b,INV-000068,4900,4900,0,4900,4900,usd,paid,True,cus_d72b1e33ee4b4574aa1b379a,sub_1eb7bea88bf14369860774a9,charge_automatically,1,,2025-05-07T00:00:00Z,2025-06-06T00:00:00Z,2025-05-07T20:07:00Z
in_621c9f60465645ba9dad922f,INV-000069,2900,2900,0,2900,2900,usd,paid,True,cus_2b1dae7e876f45ac95244122,sub_e3236ef5ea184bd596f0b282,charge_automatically,1,,2025-05-07T00:00:00Z,2025-06-06T00:00:00Z,2025-05-07T20:40:00Z
in_42089f9355134e7d990cd9d0,INV-000070,3900,3900,0,3900,3900,usd,paid,True,cus_aa10a3544b3143759709f045,sub_c8ab9bac37284a63aed24e24,charge_automatically,1,,2025-05-07T00:00:00Z,2025-06-06T00:00:00Z,2025-05-07T16:35:00Z
in_e60949cce73e456689fa5ac3,INV-000071,7900,7900,0,7900,7900,usd,paid,True,cus_db9c65aef6bf4d2b8d0abeab,sub_22310e3f82e34ddea64e63b6,charge_automatically,1,,2025-05-07T00:00:00Z,2025-06-06T00:00:00Z,2025-05-07T11:21:00Z
in_cb756537d8304803b1379c6e,INV-000072,4900,4900,0,4900,4900,usd,paid,True,cus_236726cf2b694c5fb63a9ba3,sub_6da051dc6e91441bb87918f8,charge_automatically,1,,2025-05-07T00:00:00Z,2025-06-06T00:00:00Z,2025-05-07T15:09:00Z
in_91b27fcf99ba479d96a8bd62,INV-000073,4900,4900,0,4900,4900,usd,paid,True,cus_4a6ca6eb39ce42ef9c18c5f2,sub_e9333643c208454c983ee2ac,charge_automatically,1,,2025-05-07T00:00:00Z,2025-06-06T00:00:00Z,2025-05-07T14:59:00Z
in_44531ec3745e4b089efc5f0e,INV-000074,3900,3900,0,3900,3900,usd,paid,True,cus_0f44b5f15b184bf2a28fe09e,sub_84f032cb15264946bb956b68,charge_automatically,1,,2025-05-07T00:00:00Z,2025-06-06T00:00:00Z,2025-05-07T08:13:00Z
in_f556f31607c24d54809bdf60,INV-000075,4900,4900,0,4900,4900,usd,paid,True,cus_ddacb97f2f14455c9cdd515b,sub_8218ea22f0b94215b8f42fed,charge_automatically,1,,2025-05-08T00:00:00Z,2025-06-07T00:00:00Z,2025-05-08T11:09:00Z
in_226cbdb0b01443ffb8b2d955,INV-000076,2900,2900,0,2900,2900,usd,paid,True,cus_05fc9fb3390143d28a2164cc,sub_969d4666619c4353b86c5b57,charge_automatically,1,,2025-05-08T00:00:00Z,2025-06-07T00:00:00Z,2025-05-08T08:38:00Z
in_e45d1b05e79344a78c5c5b6f,INV-000077,2900,2900,0,2900,2900,usd,paid,True,cus_6771e89d56db42bfb0814631,sub_372ed927288e4d7ab5129657,charge_automatically,1,,2025-05-08T00:00:00Z,2025-06-07T00:00:00Z,2025-05-08T08:35:00Z
in_568b9afc612d44f588b1200a,INV-000078,2900,2900,0,2900,2900,usd,paid,True,cus_08e98b1495f2425db6063dd9,sub_3ebbd2e9107e4dc08cffce51,charge_automatically,1,,2025-05-08T00:00:00Z,2025-06-07T00:00:00Z,2025-05-08T16:32:00Z
in_3681a724bbae423f992395d1,INV-000079,7900,7900,0,7900,7900,usd,paid,True,cus_473cb854221241aaadbb21d1,sub_852022ce732d4efdb94a5365,charge_automatically,1,,2025-05-08T00:00:00Z,2025-06-07T00:00:00Z,2025-05-08T10:43:00Z
in_9816385289a541c7b5ccae5d,INV-000080,2900,2900,0,2900,2900,usd,paid,True,cus_2b6e5dcbaad34641b967d048,sub_f4b0cbc144c94965bddfd462,charge_automatically,1,,2025-05-08T00:00:00Z,2025-06-07T00:00:00Z,2025-05-08T13:18:00Z
in_32d5df09428141e799a3263b,INV-000081,4900,4900,0,4900,4900,usd,paid,True,cus_a6539dea0030457c951332f7,sub_65d3c402f6644ff987bc5239,charge_automatically,1,,2025-05-08T00:00:00Z,2025-06-07T00:00:00Z,2025-05-08T10:10:00Z
in_4ebd079e0d3a45938b84f226,INV-000082,3900,3900,0,3900,3900,usd,paid,True,cus_f0d30d65dc194e7a9289aedc,sub_f0354c0929bb405fa55579f5,charge_automatically,1,,2025-05-08T00:00:00Z,2025-06-07T00:00:00Z,2025-05-08T17:37:00Z
in_751e3096feb64bbdb7aa0e9a,INV-000083,3900,3900,0,3900,3900,usd,paid,True,cus_2a3275b6942b4d5b88fa800d,sub_e1dbc2d54fa044689dbb943a,charge_automatically,1,,2025-05-09T00:00:00Z,2025-06-08T00:00:00Z,2025-05-09T21:10:00Z
in_91e0e2d9310c4e68ab32a095,INV-000084,14900,14900,0,14900,14900,usd,paid,True,cus_3de4ec30123d42fdb8805ab5,sub_4d04c2f427f245678e42f866,charge_automatically,1,,2025-05-09T00:00:00Z,2025-06-08T00:00:00Z,2025-05-09T13:49:00Z
in_2d94a8b03d4f4b1e8536d005,INV-000085,4900,4900,0,4900,4900,usd,paid,True,cus_93f0494238354c82b1bfe40c,sub_a154ec439e0d42699e11a031,charge_automatically,1,,2025-05-09T00:00:00Z,2025-06-08T00:00:00Z,2025-05-09T13:51:00Z
in_a538d164951147e8885c8133,INV-000086,2900,2900,0,2900,2900,usd,paid,True,cus_65cb6bdaa621465481c075b0,sub_a9749ab296a24da5846b7ba4,charge_automatically,1,,2025-05-09T00:00:00Z,2025-06-08T00:00:00Z,2025-05-09T14:22:00Z
in_05374d34c40b4183a0dd21a3,INV-000087,3900,3900,0,3900,3900,usd,paid,True,cus_b8ce6e869f88468f82acc1d2,sub_65de3234abf9418bb9e39aba,charge_automatically,1,,2025-05-09T00:00:00Z,2025-06-08T00:00:00Z,2025-05-09T09:55:00Z
in_ededfe8fb52c4731888a776e,INV-000088,3900,3900,0,3900,3900,usd,paid,True,cus_fbc0bee1c33a492dbc8ca193,sub_1ef9d1c5abc345fea4d7698c,charge_automatically,1,,2025-05-09T00:00:00Z,2025-06-08T00:00:00Z,2025-05-09T21:27:00Z
in_aea7860647ea490f97701a80,INV-000089,3900,3900,0,3900,3900,usd,paid,True,cus_970bb3d040714e7f928f82e5,sub_c9917dcca7af491396376bbb,charge_automatically,1,,2025-05-09T00:00:00Z,2025-06-08T00:00:00Z,2025-05-09T13:24:00Z
in_a6989d0f345e407781d19538,INV-000090,3900,3900,0,3900,3900,usd,paid,True,cus_fc587c52b959472cbfd1409a,sub_2e6721defa1c4640af53df44,charge_automatically,1,,2025-05-09T00:00:00Z,2025-06-08T00:00:00Z,2025-05-09T11:21:00Z
in_2333c39d35844c59bbf8a48c,INV-000091,3900,3900,0,3900,3900,usd,paid,True,cus_65a5b04b2d0743b182c4c867,sub_45e205b99521456cb4227dde,charge_automatically,1,,2025-05-09T00:00:00Z,2025-06-08T00:00:00Z,2025-05-09T14:12:00Z
in_7d62a93365f7418189847ca6,INV-000092,14900,14900,0,14900,14900,usd,paid,True,cus_79f872c8ce534d7e890d8f85,sub_b59d884afd8749c2bca2612b,charge_automatically,1,,2025-05-09T00:00:00Z,2025-06-08T00:00:00Z,2025-05-09T08:19:00Z
in_3811db49456c4da2aba6588e,INV-000093,3900,3900,0,3900,3900,usd,paid,True,cus_c208a0dcd32a4bb08bb1040c,sub_9f9e62d4b690471aa25a0ae8,charge_automatically,1,,2025-05-10T00:00:00Z,2025-06-09T00:00:00Z,2025-05-10T13:50:00Z
in_0293caf69f374c9f8ae9ef36,INV-000094,4900,4900,0,4900,4900,usd,paid,True,cus_43448d37ce364ea89c7b577c,sub_dde507f08859475997c7fe0f,charge_automatically,1,,2025-05-10T00:00:00Z,2025-06-09T00:00:00Z,2025-05-10T22:28:00Z
in_1418b39265b148db95a388fe,INV-000095,2900,2900,0,2900,2900,usd,paid,True,cus_1ff8e78460884a6b980320d6,sub_e8fbd540427c4ea584f03ffd,charge_automatically,1,,2025-05-10T00:00:00Z,2025-06-09T00:00:00Z,2025-05-10T08:32:00Z
in_ca0da42424f94628a9e250cd,INV-000096,4900,4900,0,4900,4900,usd,paid,True,cus_48daa2cee1a94d4892a9b46a,sub_8f06976dc51743c5b4311bc4,charge_automatically,1,,2025-05-10T00:00:00Z,2025-06-09T00:00:00Z,2025-05-10T19:28:00Z
in_40686039d07f4438ab669ec7,INV-000097,7900,7900,0,7900,7900,usd,paid,True,cus_39f0df8a00f94e88ab134e88,sub_88f105c73fa84bc98eeec701,charge_automatically,1,,2025-05-10T00:00:00Z,2025-06-09T00:00:00Z,2025-05-10T10:07:00Z
in_0b8c586cbb4b444594cc58a8,INV-000098,3900,3900,0,3900,3900,usd,paid,True,cus_e53d38ada8454b9e98c12621,sub_a89bb1dd945d48cc9652cfa4,charge_automatically,1,,2025-05-10T00:00:00Z,2025-06-09T00:00:00Z,2025-05-10T20:30:00Z
