id,customer,status,amount,currency,interval,cancel_at_period_end,canceled_at,cancel_at,trial_start,trial_end,current_period_start,current_period_end,description,default_payment_method,latest_invoice,start_date,created
sub_b0b37b9c836a4d0ea4af54db,cus_09d2432af67c48bfaf1aaf69,active,4900,usd,month,False,,,,,2026-03-30T00:00:00Z,2026-04-29T00:00:00Z,Pro Plan,pm_b683df6e8ca749acba10bf99,in_7d23e1229fa945c28b4546da,2025-05-04T00:00:00Z,2025-05-04T19:02:00Z
sub_29342c11718949e5a770109c,cus_3984b1745b164c298c553ef7,canceled,3900,usd,month,False,2025-05-28T12:09:00Z,,,,2025-05-04T00:00:00Z,2025-06-03T00:00:00Z,Growth Plan,pm_12388c4ba3614f628ab88f67,in_541d90d2535a4e90bb81212a,2025-05-04T00:00:00Z,2025-05-04T18:50:00Z
sub_af844af1f1ce45ee849e2d6c,cus_b80ed523f17b4368ae0b90ca,canceled,2900,usd,month,False,2025-11-21T20:06:00Z,,,,2025-10-31T00:00:00Z,2025-11-30T00:00:00Z,Starter Plan,pm_100e3b03337b474f9fafb47a,in_06e0c50ac78749c7acbc02ee,2025-05-04T00:00:00Z,2025-05-04T22:35:00Z
sub_61f087ec7a3546618f840d86,cus_4c777beb61c24ff59e2de53a,active,4900,usd,month,False,,,,,2026-03-30T00:00:00Z,2026-04-29T00:00:00Z,Pro Plan,pm_b3cf88b5cd2646bcb4735302,in_33ca5807cc2f4f8c8fd14f3f,2025-05-04T00:00:00Z,2025-05-04T22:21:00Z
sub_e27a7e2babed4cc583ec925a,cus_40d2a23aa27340b3976773b1,active,3900,usd,month,False,,,,,2026-03-31T00:00:00Z,2026-04-30T00:00:00Z,Growth Plan,pm_d4a7ddac21b94cd6a7affea1,in_d6cca74fbf3c4370bcedd6b5,2025-05-05T00:00:00Z,2025-05-05T14:34:00Z
sub_10a45c4f9e5f46318e7addbb,cus_2e667bfb754c465ca12dbe1c,active,7900,usd,month,False,,,,,2026-03-31T00:00:00Z,2026-04-30T00:00:00Z,Team Plan,pm_6f3975bfa1934219a18fb4cb,in_bc29cc87a2a8495dab53c48f,2025-05-05T00:00:00Z,2025-05-05T22:41:00Z
sub_995cfb2dd61848578353ee1f,cus_e09d8576f40e442d918c6ff5,canceled,4900,usd,month,False,2025-11-01T07:31:00Z,,,,2025-11-01T00:00:00Z,2025-12-01T00:00:00Z,Pro Plan,pm_338e044969154a6684c11121,in_70408696d4da40cc8cf59a95,2025-05-05T00:00:00Z,2025-05-05T10:42:00Z
sub_fba03751b2374a80bf1c23f5,cus_f0387dba08bc439584102123,canceled,2900,usd,month,False,2025-05-06T20:32:00Z,,,,2025-05-05T00:00:00Z,2025-06-04T00:00:00Z,Starter Plan,pm_ab582fa802fb467ab19e3438,in_8133b25508ec4836adb395cd,2025-05-05T00:00:00Z,2025-05-05T09:16:00Z
sub_81fdb81b5a574e89b5db69e6,cus_359d8c96dd62453ba5e51c8c,active,2900,usd,month,False,,,,,2026-03-31T00:00:00Z,2026-04-30T00:00:00Z,Starter Plan,pm_3cf70fd2fa2a401cac9c4ea9,in_4a277be06a4540909b798902,2025-05-05T00:00:00Z,2025-05-05T18:15:00Z
sub_a5eb5c4fab844b3eb71384e6,cus_9826b9409c05419096df3dd6,canceled,4900,usd,month,False,2026-04-26T15:58:00Z,,,,2026-03-31T00:00:00Z,2026-04-30T00:00:00Z,Pro Plan,pm_7135afb5293e489fb34318d0,in_839f4de341444bb8a326862d,2025-05-05T00:00:00Z,2025-05-05T18:19:00Z
sub_82cdedc8270f4935ab8f74a2,cus_fffb1fdf5b6e4e13b7a214c6,canceled,4900,usd,month,False,2026-01-15T00:42:00Z,,,,2025-12-31T00:00:00Z,2026-01-30T00:00:00Z,Pro Plan,pm_82aea8613fe5402eaa23bbb6,in_18c3fc2153e144d1b1ede3d7,2025-05-05T00:00:00Z,2025-05-05T13:15:00Z
sub_714722f7ae37449d9b303e33,cus_ea5528fd983245a6888d4c56,active,7900,usd,month,False,,,,,2026-03-31T00:00:00Z,2026-04-30T00:00:00Z,Team Plan,pm_cf242099c47243f2a40202e2,in_93924410206b4258acfe338b,2025-05-05T00:00:00Z,2025-05-05T19:21:00Z
sub_c03447be5fde47e9b0cb59ed,cus_d08bf670a10647f6a7729ca8,active,4900,usd,month,False,,,,,2026-03-31T00:00:00Z,2026-04-30T00:00:00Z,Pro Plan,pm_846f11add3134f7a8001c88e,in_61e4ab9743f14afcb5457ac0,2025-05-05T00:00:00Z,2025-05-05T10:41:00Z
sub_28d6c19e8d9b4ea9b7d32cb3,cus_00db39f37cb047d989089021,active,2900,usd,month,False,,,,,2026-04-01T00:00:00Z,2026-05-01T00:00:00Z,Starter Plan,pm_1a97097cf135427a8b8bc5aa,in_b03ca48bd7fe4896bac402b3,2025-05-06T00:00:00Z,2025-05-06T09:18:00Z
sub_0ce80646f1a74999819f7f61,cus_757150eb08a94764a54d8e55,active,3900,usd,month,False,,,,,2026-04-01T00:00:00Z,2026-05-01T00:00:00Z,Growth Plan,pm_ebb6a16d69774b6ea1d3239c,in_5c3830d0c17b41b19ba67f2b,2025-05-06T00:00:00Z,2025-05-06T11:21:00Z
sub_7ffff4a853dd47f79e13a031,cus_5a40d7fba0144493bee1a633,active,2900,usd,month,False,,,,,2026-04-01T00:00:00Z,2026-05-01T00:00:00Z,Starter Plan,pm_45102a06db6444cdb291276b,in_c6aab2024a4845dcb69070e8,2025-05-06T00:00:00Z,2025-05-06T08:21:00Z
sub_3d5d879196544716af18d630,cus_69209724426e4675be932107,active,2900,usd,month,False,,,,,2026-04-01T00:00:00Z,2026-05-01T00:00:00Z,Starter Plan,pm_a1830f2f4e6d408cb4f86c17,in_9fb9a647c61d41089bbfadb0,2025-05-06T00:00:00Z,2025-05-06T15:11:00Z
sub_ab7fdeff885a4815b8600260,cus_426340055ec4434ba0834b22,active,4900,usd,month,False,,,,,2026-04-01T00:00:00Z,2026-05-01T00:00:00Z,Pro Plan,pm_374c958343d64dffb5145455,in_cad96e5875504e1292e22692,2025-05-06T00:00:00Z,2025-05-06T11:24:00Z
sub_eaa2ac6cb0304978b9a56871,cus_946bfaae74924b78a8c9ef1c,active,3900,usd,month,False,,,,,2026-04-01T00:00:00Z,2026-05-01T00:00:00Z,Growth Plan,pm_617eae60f7c64011b9437012,in_67a754ddb5e343cfbc8a1166,2025-05-06T00:00:00Z,2025-05-06T11:30:00Z
sub_e65a26b65736488e8f5b39a5,cus_ff0836ad3164452481759c55,canceled,2900,usd,month,False,2025-10-26T05:30:00Z,,,,2025-10-03T00:00:00Z,2025-11-02T00:00:00Z,Starter Plan,pm_4bcc135bf81140fd961b527a,in_e34e6d5ebe494996b2245c06,2025-05-06T00:00:00Z,2025-05-06T16:33:00Z
sub_b122c9ba348a4a6d8f5aa4f7,cus_4a8258269628458bb437316f,canceled,2900,usd,month,False,2026-02-11T17:57:00Z,,,,2026-01-31T00:00:00Z,2026-03-02T00:00:00Z,Starter Plan,pm_4f5d7d27e6084730a0b2d6ed,in_2f9d4e058a6a45f3b9b76644,2025-05-06T00:00:00Z,2025-05-06T11:07:00Z
sub_79cc545b375e4c6fb8a282df,cus_fd5f0687b99a48b38e63145d,canceled,14900,usd,month,False,2026-04-06T08:55:00Z,,,,2026-04-02T00:00:00Z,2026-05-02T00:00:00Z,Enterprise Plan,pm_e8ca21779e6c4342b6bda280,in_3e45823ee1dc4831a74bbb7d,2025-05-07T00:00:00Z,2025-05-07T18:33:00Z
sub_226893f290da4e12b66907c4,cus_1e261205a170486598a3baf5,active,3900,usd,month,False,,,,,2026-04-02T00:00:00Z,2026-05-02T00:00:00Z,Growth Plan,pm_4817bc08e5904b60aadf5061,in_699569335bd146fea2980973,2025-05-07T00:00:00Z,2025-05-07T17:39:00Z
sub_db290eaf9fa74889a0c291ae,cus_9336eac5b1f3424ea078dc84,canceled,4900,usd,month,False,2026-01-16T08:07:00Z,,,,2026-01-02T00:00:00Z,2026-02-01T00:00:00Z,Pro Plan,pm_f64069ab2a04413b960cb87c,in_df3bc070d40c458f97257bc2,2025-05-07T00:00:00Z,2025-05-07T10:56:00Z
sub_61f1f1d25c214f2aa75ce9c6,cus_7602aeadf8be44f893a8730f,canceled,4900,usd,month,False,2025-08-15T13:48:00Z,,,,2025-08-05T00:00:00Z,2025-09-04T00:00:00Z,Pro Plan,pm_3845b887d9ed4ebcba335519,in_442feff1522d4c3da07f1881,2025-05-07T00:00:00Z,2025-05-07T20:07:00Z
sub_ccfe9469f07e42d0b8dcc30c,cus_a4ff7fde364f47b7a1faf5e2,active,2900,usd,month,False,,,,,2026-04-02T00:00:00Z,2026-05-02T00:00:00Z,Starter Plan,pm_5eb976351e724f23b7e5b41b,in_4d64f3b87e044230b2c4044e,2025-05-07T00:00:00Z,2025-05-07T20:40:00Z
sub_1b38aa5043cf4040b5b89a51,cus_6e104435c7a04d809e202385,active,3900,usd,month,False,,,,,2026-04-02T00:00:00Z,2026-05-02T00:00:00Z,Growth Plan,pm_90383fdfedb64d789c51d034,in_649bf2c68e614a0b86a603c2,2025-05-07T00:00:00Z,2025-05-07T16:35:00Z
sub_1718197b6a6a48f493ccb561,cus_7df388cb4176403fbf727b47,active,7900,usd,month,False,,,,,2026-04-02T00:00:00Z,2026-05-02T00:00:00Z,Team Plan,pm_e54ab40b13a34bfaada6bffe,in_057ad81a556a4c77b8924178,2025-05-07T00:00:00Z,2025-05-07T11:21:00Z
sub_e9db65c5b5484947bcc9905f,cus_e2b024393bef4783a0af124b,canceled,4900,usd,month,False,2026-01-01T22:21:00Z,,,,2025-12-03T00:00:00Z,2026-01-02T00:00:00Z,Pro Plan,pm_023f79249a2d4b7db0b1f0bf,in_b9206fbb3c37430d8363f9b9,2025-05-07T00:00:00Z,2025-05-07T15:09:00Z
sub_288081e874c14d47ae24e69a,cus_cc6dd163ba394ad3b5b013b2,active,4900,usd,month,False,,,,,2026-04-02T00:00:00Z,2026-05-02T00:00:00Z,Pro Plan,pm_c37a41405eee40b0bfe16e58,in_a1ad0cc872c34d838a40e27d,2025-05-07T00:00:00Z,2025-05-07T14:59:00Z
sub_362b4862eb1c41119146e4b3,cus_89a0e27c227b4123ba947161,canceled,3900,usd,month,False,2026-04-16T11:08:00Z,,,,2026-04-02T00:00:00Z,2026-05-02T00:00:00Z,Growth Plan,pm_7262d23a15bd446da6196ac8,in_0464fc187d6e4a27a2d8795b,2025-05-07T00:00:00Z,2025-05-07T08:13:00Z
sub_9262ef812be740aca1a573f5,cus_0019771dca7c4bb791bbf3d0,active,4900,usd,month,False,,,,,2026-04-03T00:00:00Z,2026-05-03T00:00:00Z,Pro Plan,pm_fcb5ac940b354fd4886e2a80,in_a6b41ecedae448fca9e2ef18,2025-05-08T00:00:00Z,2025-05-08T11:09:00Z
sub_964194c1b1c54a17a23d5e41,cus_92b071a4a26b4050a06e0c73,active,2900,usd,month,False,,,,,2026-04-03T00:00:00Z,2026-05-03T00:00:00Z,Starter Plan,pm_858c3b2f41984c6f9b697aee,in_f91806b4ffd248c2869dc3e2,2025-05-08T00:00:00Z,2025-05-08T08:38:00Z
sub_2035ccdfea8b498493cf6466,cus_7946ad484d8046a997f424b3,canceled,2900,usd,month,False,2025-11-05T14:33:00Z,,,,2025-11-04T00:00:00Z,2025-12-04T00:00:00Z,Starter Plan,pm_33d68ac1205f4433ab2e2eec,in_bf102fbb3ad34e8e92620670,2025-05-08T00:00:00Z,2025-05-08T08:35:00Z
sub_8eb4ea7e6d894cb8af1aff9a,cus_2dc82b2c2ae647bab59403ff,canceled,2900,usd,month,False,2025-08-17T10:57:00Z,,,,2025-08-06T00:00:00Z,2025-09-05T00:00:00Z,Starter Plan,pm_a9a081d6f3794dd9ac6beb5b,in_9a438f4bef7f49a6871cedb3,2025-05-08T00:00:00Z,2025-05-08T16:32:00Z
sub_4155e452ff7e4380b6c9a365,cus_9bbbc87c241f43ebaea037cd,active,7900,usd,month,False,,,,,2026-04-03T00:00:00Z,2026-05-03T00:00:00Z,Team Plan,pm_ce49ab72aa194b5fb17e4d6f,in_ac6f4b5df5db40e3a78125cb,2025-05-08T00:00:00Z,2025-05-08T10:43:00Z
sub_9057a6b18b2e4fd591aa7a88,cus_19e44ae5f22643bbbd459672,active,2900,usd,month,False,,,,,2026-04-03T00:00:00Z,2026-05-03T00:00:00Z,Starter Plan,pm_bdd09a4e06d84012a297e9d3,in_35246e0f79ff447c80c56771,2025-05-08T00:00:00Z,2025-05-08T13:18:00Z
sub_bfdf81438e3c4b1b93976e67,cus_44706976df39485f9f229068,canceled,4900,usd,month,False,2025-08-22T08:42:00Z,,,,2025-08-06T00:00:00Z,2025-09-05T00:00:00Z,Pro Plan,pm_1777f7cf87bd4d52b75dfd1a,in_7880616a4e2e4777871304a1,2025-05-08T00:00:00Z,2025-05-08T10:10:00Z
sub_5130743606c4450ca86e39eb,cus_f9b65b6e07e64cc2bc1472df,active,3900,usd,month,False,,,,,2026-04-03T00:00:00Z,2026-05-03T00:00:00Z,Growth Plan,pm_20ee6d22e0534483a03a54ff,in_f8e9f183e898490790ed6e15,2025-05-08T00:00:00Z,2025-05-08T17:37:00Z
